Date,Open,High,Low,Close,Adj Close,Volume
2009-05-04,458.404785,479.975311,454.690002,470.614044,426.631439,87644390
2009-05-11,475.245148,489.212738,456.423553,483.095734,437.946655,83869117
2009-05-18,531.709900,627.799072,517.841370,541.306458,490.717102,103763496
2009-05-25,544.835510,571.507690,527.623657,562.641724,510.058472,87655030
2009-06-01,577.030334,577.030334,534.929382,547.993103,496.778870,73702160
2009-06-08,546.569092,589.165283,538.644165,584.979980,530.309082,78155109
2009-06-15,584.385620,584.385620,489.633759,505.582581,458.331970,114063432
2009-06-22,507.118042,507.687622,470.539764,502.536469,455.570465,99303646
2009-06-29,501.743958,540.625427,490.351959,502.152588,455.222473,75139504
2009-07-06,507.192322,508.182922,432.153625,439.620331,398.534424,102640951
2009-07-13,433.317596,487.479187,425.244110,479.715271,434.882050,80170486
2009-07-20,485.398895,517.271790,482.922363,499.477936,452.797760,70868698
2009-07-27,482.922363,494.066742,463.357819,484.259705,439.001862,93323495
2009-08-03,487.602997,526.261536,484.928375,494.747772,448.509705,77919800
2009-08-10,502.846008,511.154755,481.263092,504.331940,457.198151,64417360
2009-08-17,497.533875,497.781525,462.515808,477.672150,433.029938,60975982
2009-08-24,485.398895,515.117188,482.575653,513.656067,465.650848,55437923
2009-08-31,511.154755,511.154755,476.310059,490.636749,444.782898,59963235
2009-09-07,491.590210,554.716858,489.485168,530.186829,480.636688,89649482
2009-09-14,528.738098,549.466614,512.888306,520.701782,472.038116,105258841
2009-09-21,519.995972,531.932800,509.668854,528.738098,479.323334,55493155
2009-09-28,527.004517,548.030212,527.004517,539.387146,488.977173,47785084
2009-10-05,534.904663,553.627197,516.132568,520.008362,471.409515,80435736
2009-10-12,525.023315,551.274475,525.023315,549.479004,498.125885,58309903
2009-10-19,550.989685,565.464966,504.616730,507.031342,462.413574,52740935
2009-10-26,507.687622,512.145386,475.988098,478.254120,436.168701,73356047
2009-11-02,477.226379,489.088928,446.331726,484.779785,442.120148,66232699
2009-11-09,489.113678,531.462280,485.795135,524.899475,478.709320,81383891
2009-11-16,532.205200,535.424683,511.402405,525.840576,479.567688,58074816
2009-11-23,534.929382,551.249695,500.753357,518.064270,472.475647,75122398
2009-11-30,526.261536,554.741577,522.051453,539.089966,491.651154,38139652
2009-12-07,538.891846,541.913208,520.070251,530.595459,483.904114,37234237
2009-12-14,528.985718,536.910645,497.781525,499.094086,455.174835,36713059
2009-12-21,495.800293,536.811584,490.351959,531.363220,484.604370,35136147
2009-12-28,531.363220,542.854309,529.728699,541.541748,493.887207,17995852
2010-01-04,540.427307,569.551208,506.127411,546.395691,498.313904,75242351
2010-01-11,562.022583,569.452148,520.070251,550.160034,501.747009,129271906
2010-01-18,548.302612,552.983276,509.916504,521.977173,476.044220,48479987
2010-01-25,519.896912,537.851685,504.270020,518.188110,472.588593,43747075
2010-02-01,513.878967,523.215454,482.922363,486.240936,443.452698,39823562
2010-02-08,487.875427,505.112030,482.922363,502.808868,458.562714,37796057
2010-02-15,508.678253,514.299927,483.987274,486.983887,444.130310,35436559
2010-02-22,492.977081,495.304993,475.071808,484.878845,442.210480,36776858
2010-03-01,484.878845,515.117188,484.878845,500.158997,456.146027,35715603
2010-03-08,505.805481,511.650055,489.386108,506.003601,461.476257,42054180
2010-03-15,506.201721,543.101929,501.793488,540.897827,493.299896,50192749
2010-03-22,526.013916,550.283875,526.013916,545.058411,497.094299,37620279
2010-03-29,546.668152,549.763794,530.620239,540.897827,493.299896,33853902
2010-04-05,543.101929,569.452148,543.101929,557.069519,508.048462,38841343
2010-04-12,567.124207,567.124207,530.545959,537.034424,489.776489,31913500
2010-04-19,534.830322,542.854309,519.153931,538.990906,491.560822,46684769
2010-04-26,534.929382,543.745850,501.248657,511.947266,466.896973,50765306
2010-05-03,508.182922,525.023315,483.417694,511.550995,466.535583,64973512
2010-05-10,520.565552,541.566467,512.640686,516.925049,471.436707,50663463
2010-05-17,512.492065,512.492065,483.467224,493.100891,452.777771,46103448
2010-05-24,504.220490,519.550171,486.760986,513.457947,471.470154,50136968
2010-05-31,510.238434,519.327271,496.964264,510.758514,468.991486,40121950
2010-06-07,502.734589,520.491272,492.878021,518.287170,475.904510,37493420
2010-06-14,522.497253,539.783386,519.624451,522.224854,479.520142,48939566
2010-06-21,525.518616,532.353821,516.603149,526.484436,483.431396,34839381
2010-06-28,531.957581,541.838928,523.785034,529.456299,486.160248,44573464
2010-07-05,529.976379,535.870483,520.565552,523.859314,481.020905,25080633
2010-07-12,525.023315,542.086548,521.085632,526.484436,483.431396,30566926
2010-07-19,524.082214,530.422119,518.881531,525.246216,482.294495,25912381
2010-07-26,526.756897,531.784241,498.895966,500.084686,459.190491,64470570
2010-08-02,503.229889,510.659454,494.562042,495.354523,454.847137,41241130
2010-08-09,495.304993,498.276825,480.445862,484.953125,445.296295,55187607
2010-08-16,485.398895,492.035980,474.675537,489.683289,449.639648,43997540
2010-08-23,491.367340,491.367340,468.830963,470.341644,431.879700,47807122
2010-08-30,471.579895,477.870270,453.204071,458.503845,421.009949,54706208
2010-09-06,461.104187,480.297272,456.819794,474.774597,435.950195,38791473
2010-09-13,481.436462,510.857574,478.142700,508.851593,467.240540,60455590
2010-09-20,509.668854,519.327271,491.392090,496.122253,455.552155,56923180
2010-09-27,499.267456,505.161560,484.457825,499.217926,458.394623,47083898
2010-10-04,502.709808,522.918274,499.762756,519.896912,477.382568,57527258
2010-10-11,523.042114,535.672363,512.937866,515.290588,473.152924,46039564
