Date,Open,High,Low,Close,Adj Close,Volume
2009-05-04,190.012497,204.487503,187.649994,190.087494,147.783340,80402184
2009-05-11,190.000000,200.875000,186.524994,199.100006,154.790115,45102984
2009-05-18,213.125000,238.862503,185.631256,190.287506,147.938843,106508776
2009-05-25,191.250000,203.625000,186.318756,200.637497,155.985397,66794360
2009-06-01,201.918747,214.375000,200.125000,212.362503,165.101044,64867608
2009-06-08,212.250000,230.550003,211.500000,216.056244,169.365601,71612168
2009-06-15,215.612503,223.137497,209.543747,221.300003,173.476166,67292480
2009-06-22,222.524994,230.000000,212.625000,228.387497,179.032013,58418120
2009-06-29,232.487503,258.750000,218.456253,225.643753,176.881226,44055312
2009-07-06,226.250000,227.425003,208.125000,215.143753,168.650284,70386432
2009-07-13,214.100006,234.250000,212.637497,233.287506,182.873138,57435504
2009-07-20,233.762497,252.125000,233.762497,250.456253,196.331650,81244232
2009-07-27,250.000000,259.875000,243.024994,258.043762,202.279495,77336512
2009-08-03,258.000000,263.375000,252.625000,254.956253,199.859177,51256256
2009-08-10,256.250000,264.375000,249.500000,255.293747,200.123734,45299344
2009-08-17,253.131256,255.625000,241.875000,254.137497,199.217346,43818960
2009-08-24,257.487488,275.500000,254.375000,273.831238,214.655182,48786888
2009-08-31,270.700012,277.000000,265.000000,275.131256,215.674301,52741328
2009-09-07,276.875000,284.362488,272.125000,283.424988,222.175659,42018192
2009-09-14,278.481262,298.500000,278.481262,295.531250,231.665741,39055080
2009-09-21,295.531250,302.625000,279.137512,280.062500,219.539886,89576152
2009-09-28,280.062500,293.750000,280.062500,292.093750,228.971115,29872312
2009-10-05,289.375000,294.075012,270.825012,272.200012,213.376465,77283632
2009-10-12,273.750000,286.000000,273.131256,273.743744,214.586609,32829216
2009-10-19,273.743744,284.375000,271.274994,282.500000,222.436676,53140592
2009-10-26,283.174988,287.493744,267.768738,275.774994,217.141479,66173224
2009-11-02,275.774994,282.500000,266.262512,277.325012,218.361923,40431280
2009-11-09,278.750000,296.812500,275.000000,294.962494,232.249466,35941720
2009-11-16,295.924988,306.125000,291.912506,303.337494,238.843872,34718768
2009-11-23,302.612488,307.125000,288.387512,290.981262,229.114700,32820016
2009-11-30,294.075012,303.375000,293.781250,297.950012,234.601837,35993320
2009-12-07,299.362488,311.081238,296.875000,307.593750,242.195145,34529632
2009-12-14,306.875000,321.493744,306.256256,315.743744,248.612366,46883560
2009-12-21,310.356262,325.000000,309.593750,323.975006,255.093552,30819976
2009-12-28,323.975006,326.750000,320.412506,325.137512,256.008789,20507592
2010-01-04,326.250000,335.375000,307.250000,308.024994,242.534668,41323992
2010-01-11,309.387512,337.862488,309.250000,334.475006,263.361084,65876784
2010-01-18,332.875000,336.250000,319.000000,321.950012,253.499039,38238880
2010-01-25,318.750000,321.243744,300.600006,309.437500,243.646896,44084720
2010-02-01,305.875000,316.250000,291.125000,294.087494,231.560471,48325056
2010-02-08,296.862488,314.768738,293.062500,312.306244,245.905670,33281744
2010-02-15,313.375000,320.799988,309.356262,316.549988,249.247192,31080096
2010-02-22,319.387512,328.750000,318.875000,325.243744,256.092529,34344384
2010-03-01,325.243744,334.562500,325.243744,329.462494,259.414307,26179680
2010-03-08,331.625000,338.000000,327.231262,334.156250,263.110046,31430040
2010-03-15,331.799988,349.375000,329.500000,346.543762,272.863770,44321792
2010-03-22,344.012512,358.750000,342.862488,346.856262,273.109924,33214296
2010-03-29,344.750000,346.250000,325.825012,333.806244,262.834473,45888744
2010-04-05,334.875000,337.212494,327.174988,334.524994,263.400360,36536600
2010-04-12,335.737488,353.087494,329.375000,348.575012,274.463196,94600520
2010-04-19,346.831238,348.743744,336.625000,340.868744,268.395416,37659792
2010-04-26,341.262512,344.850006,334.375000,342.268738,269.497742,32666024
2010-05-03,338.500000,339.368744,325.881256,327.106262,257.558990,40899992
2010-05-10,327.500000,340.875000,327.500000,331.487488,261.008728,32371784
2010-05-17,329.375000,332.500000,319.793762,322.718750,254.104324,40890736
2010-05-24,326.375000,335.549988,313.762512,334.681244,263.523499,41999776
2010-05-31,341.875000,342.250000,327.200012,341.118744,270.192047,29828280
2010-06-07,338.750000,338.750000,327.062500,328.843750,260.469269,34960528
2010-06-14,331.262512,351.875000,331.262512,348.274994,275.860291,37390696
2010-06-21,349.924988,354.212494,339.731262,347.212494,275.018768,32538296
2010-06-28,346.250000,352.125000,339.500000,340.937500,270.048462,34073904
2010-07-05,341.250000,360.062500,340.000000,359.225006,284.533600,29550016
2010-07-12,356.256256,363.750000,342.125000,347.125000,274.949432,64827248
2010-07-19,343.625000,358.756256,340.881256,348.306244,275.885071,28286384
2010-07-26,348.750000,355.000000,345.000000,348.549988,276.078094,21375624
2010-08-02,350.000000,363.350006,346.187500,357.975006,283.543518,26056616
2010-08-09,356.062500,360.362488,344.250000,347.156250,274.974213,26893536
2010-08-16,345.000000,353.125000,341.250000,346.200012,274.216797,25913960
2010-08-23,346.500000,351.250000,335.174988,338.737488,268.305878,28070176
2010-08-30,339.918762,351.750000,333.287506,347.181244,274.994049,33644448
2010-09-06,348.281250,362.500000,348.200012,361.875000,286.632599,31690352
2010-09-13,361.250000,382.500000,360.250000,371.268738,294.073090,46467752
2010-09-20,371.875000,383.125000,371.631256,381.137512,301.889984,45029224
2010-09-27,381.875000,388.756256,375.125000,387.768738,307.142395,44144712
2010-10-04,389.000000,395.250000,379.631256,384.537506,304.582947,31996152
2010-10-11,385.037506,404.750000,381.287506,384.537506,304.582947,57207696
2010-10-18,385.062500,389.862488,372.512512,381.643738,302.290924,54340328
2010-10-25,382.350006,384.362488,368.000000,371.462494,297.180023,46341176
2010-11-01,372.875000,386.500000,372.875000,385.206238,308.175446,18745736
2010-11-08,385.500000,388.125000,373.625000,374.731262,299.795258,33462760
2010-11-15,375.375000,380.618744,367.531250,370.475006,296.390076,27018640
2010-11-22,371.418762,388.875000,368.781250,380.256256,304.215302,45246672
2010-11-29,383.125000,393.487488,376.524994,390.625000,312.510620,32506144
2010-12-06,391.250000,399.375000,389.250000,393.031250,314.435638,33116504
2010-12-13,393.625000,412.500000,384.375000,411.662506,329.341248,27546200
2010-12-20,406.512512,422.725006,406.500000,421.268738,337.026459,35185008
2010-12-27,419.625000,431.750000,419.625000,430.343750,344.286621,24900536
2011-01-03,430.500000,437.375000,419.543762,421.343750,337.086426,29933760
2011-01-10,421.875000,430.393738,398.125000,400.537506,320.440857,65419736
2011-01-17,400.000000,416.962494,398.906250,405.481262,324.395935,36809544
2011-01-24,405.000000,413.106262,392.581238,396.018738,316.825775,42822216
2011-01-31,392.312500,395.500000,378.299988,380.987488,304.800354,40235072
2011-02-07,384.362488,394.962494,377.543762,380.106262,304.095306,40335568
2011-02-14,380.500000,393.125000,380.062500,387.537506,310.040466,24994672
2011-02-21,387.500000,397.225006,370.750000,375.912506,300.740265,49414224
2011-02-28,377.750000,391.850006,370.924988,382.774994,306.230347,45234872
2011-03-07,379.500000,391.600006,377.524994,381.737488,305.400421,33265152
2011-03-14,379.375000,388.500000,366.575012,367.637512,294.120056,33979872
2011-03-21,368.924988,398.125000,363.043762,395.381256,316.315735,39845584
2011-03-28,392.375000,408.125000,388.718750,402.268738,321.825897,51953568
2011-04-04,403.125000,412.375000,400.931244,403.412506,322.740936,27078664
2011-04-11,399.412506,414.637512,372.187500,373.687500,298.960114,100088704
2011-04-18,364.875000,370.875000,360.000000,363.750000,291.009857,102200896
2011-04-25,364.375000,370.581238,360.993744,363.281250,290.634857,83413088
2011-05-02,364.881256,369.643738,354.625000,361.625000,289.309784,68218520
2011-05-09,363.750000,365.612488,358.437500,359.793762,287.844727,29500456
2011-05-16,359.500000,360.293762,350.375000,356.231262,284.994659,39695968
2011-05-23,355.981262,357.981262,344.575012,348.437500,278.759460,40220880
2011-05-30,350.762512,355.350006,345.125000,352.024994,283.664001,48794496
2011-06-06,352.750000,363.000000,349.393738,357.793762,288.312500,29102776
2011-06-13,356.062500,360.437500,341.412506,346.206238,278.975220,39093296
2011-06-20,346.037506,359.712494,331.562500,357.493744,288.070679,41004024
2011-06-27,353.956238,371.243744,352.531250,366.768738,295.544525,37756144
2011-07-04,370.831238,377.987488,365.750000,372.068756,299.815399,25399808
2011-07-11,369.237488,372.012512,340.000000,341.418762,275.117371,69481192
2011-07-18,341.875000,355.500000,338.418762,353.531250,284.877716,37602504
2011-07-25,352.250000,354.487488,340.674988,346.987488,279.604736,41998400
2011-08-01,347.512512,352.975006,315.625000,323.899994,261.000671,38961528
2011-08-08,312.500000,312.500000,292.793762,296.899994,239.243881,69280256
2011-08-15,296.899994,308.512512,271.450012,278.087494,224.084610,58251896
2011-08-22,276.737488,287.831238,270.187500,275.318756,221.853577,89333368
2011-08-29,279.875000,298.125000,279.000000,289.899994,233.603256,38326352
2011-09-05,286.712494,294.250000,277.781250,284.287506,229.080688,58296648
2011-09-12,276.000000,307.237488,272.581238,299.393738,241.253342,60807920
2011-09-19,299.875000,306.862488,290.125000,292.350006,235.577454,42456104
2011-09-26,293.125000,321.243744,287.637512,316.631256,255.143478,70934072
2011-10-03,311.250000,321.862488,301.700012,313.587494,252.690781,46953192
2011-10-10,318.125000,344.587494,311.250000,342.968750,276.366333,111561912
2011-10-17,345.137512,345.612488,335.943756,340.331238,274.241028,47230944
2011-10-24,343.750000,371.418762,342.649994,357.331238,289.531952,48450856
2011-10-31,357.000000,362.218750,345.899994,353.243744,286.219940,41938984
2011-11-07,353.243744,358.406250,326.337494,346.962494,281.130524,22228208
2011-11-14,351.268738,354.049988,340.000000,342.600006,277.595795,27388592
2011-11-21,340.000000,345.612488,323.325012,324.962494,263.304779,58272424
2011-11-28,327.506256,339.431244,320.125000,336.768738,272.870941,47166424
2011-12-05,336.250000,346.549988,332.524994,338.787506,274.506592,33404912
2011-12-12,339.987488,348.600006,333.125000,340.562500,275.944855,54254224
2011-12-19,336.250000,344.350006,331.250000,336.843750,272.931671,50724392
2011-12-26,336.375000,350.500000,336.375000,345.956238,280.315186,31412000
2012-01-02,344.899994,360.868744,342.750000,354.018738,286.847931,36283512
2012-01-09,355.937500,361.862488,319.031250,323.024994,261.734833,103110304
2012-01-16,322.656250,334.100006,322.037506,323.600006,262.200775,52917632
2012-01-23,323.750000,341.875000,323.625000,340.625000,275.995483,33578304
2012-01-30,337.362488,349.000000,336.250000,347.906250,281.895203,47692144
2012-02-06,350.637512,352.762512,339.206238,348.799988,282.619354,37165272
2012-02-13,346.906250,372.250000,344.637512,368.475006,298.561340,38103936
2012-02-20,368.475006,374.250000,363.149994,368.506256,298.586639,35473744
2012-02-27,370.625000,370.625000,350.625000,355.712494,288.220367,39613464
2012-03-05,357.262512,362.875000,349.587494,356.912506,289.192627,30683520
2012-03-12,364.375000,364.375000,347.625000,358.118744,290.169983,40889352
2012-03-19,361.875000,362.500000,350.375000,359.087494,290.954956,32699952
2012-03-26,358.625000,362.968750,345.975006,358.287506,290.306763,40397144
2012-04-02,358.000000,361.093750,355.125000,356.387512,288.767303,15557312
2012-04-09,354.687500,357.418762,298.637512,300.318756,243.336884,109025440
2012-04-16,300.000000,303.549988,291.631256,300.924988,243.828049,104964928
2012-04-23,298.750000,299.750000,274.787506,298.875000,242.167023,127012640
2012-04-30,299.000000,312.250000,298.793762,305.243744,247.327377,43195912
2012-05-07,301.125000,306.100006,286.506256,288.912506,234.094833,50720120
2012-05-14,290.024994,303.625000,287.768738,297.856262,241.341629,38520432
2012-05-21,298.112488,298.612488,288.399994,296.606262,240.328812,27927776
2012-05-28,299.250000,319.000000,295.325012,298.649994,243.019653,46091424
2012-06-04,296.750000,311.112488,293.125000,302.406250,246.076218,31793904
