Date,Open,High,Low,Close,Adj Close,Volume
2009-05-04,115.004997,120.995003,111.455002,114.404999,105.459763,80306270
2009-05-11,118.769997,120.394997,112.125000,118.495003,109.229965,88344150
2009-05-18,126.114998,153.970001,120.629997,136.985001,126.274246,92534610
2009-05-25,137.500000,145.990005,132.500000,144.449997,133.155548,98342150
2009-06-01,145.399994,148.399994,134.789993,141.860001,130.768082,57468460
2009-06-08,142.000000,157.899994,137.820007,152.815002,140.866501,60419890
2009-06-15,152.369995,158.399994,148.649994,155.884995,143.696472,65377400
2009-06-22,157.869995,157.869995,145.119995,149.830002,138.114899,75093670
2009-06-29,150.500000,153.289993,146.524994,151.574997,140.625580,50917810
2009-07-06,152.500000,154.800003,136.024994,137.884995,127.924515,52979630
2009-07-13,137.000000,144.884995,133.304993,143.664993,133.286972,81379960
2009-07-20,145.100006,148.600006,142.029999,144.994995,134.520889,58572860
2009-07-27,145.699997,150.949997,138.500000,149.910004,139.080856,67820660
2009-08-03,150.000000,150.899994,137.899994,139.020004,128.977524,56989430
2009-08-10,141.399994,144.899994,135.500000,142.729996,132.419510,49565470
2009-08-17,140.899994,149.000000,139.500000,146.595001,136.005356,54785400
2009-08-24,149.800003,151.869995,143.500000,145.774994,135.244553,29705780
2009-08-31,143.500000,148.684998,142.500000,145.425003,134.919830,26289570
2009-09-07,146.005005,150.300003,144.820007,149.125000,138.352539,44685340
2009-09-14,149.125000,153.899994,148.399994,152.445007,141.432755,44855400
2009-09-21,152.445007,163.669998,151.600006,160.854996,149.235214,47635590
2009-09-28,160.854996,166.839996,160.110001,164.429993,152.551971,24523610
2009-10-05,162.100006,171.000000,160.490005,167.565002,155.460510,34991650
2009-10-12,166.300003,173.880005,164.500000,171.964996,159.542664,33267910
2009-10-19,171.964996,172.000000,164.000000,169.190002,156.968109,18696310
2009-10-26,167.100006,170.000000,157.024994,162.070007,150.362442,38212060
2009-11-02,162.070007,165.350006,158.134995,164.000000,152.153015,26637000
2009-11-09,164.100006,174.199997,164.000000,172.225006,159.783890,42164330
2009-11-16,172.294998,176.149994,170.130005,175.399994,162.729523,36132840
2009-11-23,173.529999,181.000000,168.235001,175.035004,162.390884,33666240
2009-11-30,176.500000,182.399994,174.225006,178.955002,166.027710,34360580
2009-12-07,179.000000,183.899994,176.309998,178.514999,165.619461,31509630
